NAME,Year,Industry,Category,NAICS Code,BEA Line Code,BEA Employment,NAICS Employment
"Humphreys County, Tennessee",2038,Finance and insurance,BEA and NAICS,52,1000,367.42857142857144,367.42857142857144
"Humphreys County, Tennessee",2031,Accommodation and food services,BEA and NAICS,72,1800,765.0714285714286,765.0714285714286
"Humphreys County, Tennessee",2047,Other services (except government and government enterprises),BEA and NAICS,81,1900,949.0714285714286,949.0714285714286
"Humphreys County, Tennessee",2034,Real estate and rental and leasing,BEA and NAICS,53,1100,216.28571428571428,216.28571428571428
"Humphreys County, Tennessee",2047,Management of companies and enterprises,BEA and NAICS,55,1300,0.0,0.0
"Humphreys County, Tennessee",2031,Information,BEA and NAICS,51,900,38.42857142857143,38.42857142857143
"Humphreys County, Tennessee",2025,Total employment (number of jobs),BEA and NAICS,NA,10,9203.464285714286,9203.464285714286
"Humphreys County, Tennessee",2046,Wholesale trade,BEA and NAICS,42,600,149.47803316846085,149.47803316846085
"Humphreys County, Tennessee",2048,Total employment (number of jobs),BEA and NAICS,NA,10,10560.357142857143,10560.357142857143
"Humphreys County, Tennessee",2037,Public Administration,NAICS,92,NA,0,922.8976462175547
"Humphreys County, Tennessee",2024,Retail trade,BEA and NAICS,44-45,700,964.5,964.5
"Humphreys County, Tennessee",2030,Total employment (number of jobs),BEA and NAICS,NA,10,9534.57142857143,9534.57142857143
"Humphreys County, Tennessee",2034,Educational services,BEA and NAICS,61,1500,114.87576374745417,223.0963644621973
"Humphreys County, Tennessee",2043,Wholesale trade,BEA and NAICS,42,600,150.0865580448065,150.0865580448065
"Humphreys County, Tennessee",2027,Other services (except government and government enterprises),BEA and NAICS,81,1900,601.2142857142857,601.2142857142857
"Humphreys County, Tennessee",2022BL,Total employment (number of jobs),BEA and NAICS,NA,10,8902.0,8902.0
"Humphreys County, Tennessee",2046,Finance and insurance,BEA and NAICS,52,1000,411.14285714285717,411.14285714285717
"Humphreys County, Tennessee",2022WP,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,47.0,47.0
"Humphreys County, Tennessee",2049,Total employment (number of jobs),BEA and NAICS,NA,10,10616.17857142857,10616.17857142857
"Humphreys County, Tennessee",2026,Retail trade,BEA and NAICS,44-45,700,970.0,970.0
"Humphreys County, Tennessee",2044,Construction,BEA and NAICS,23,400,871.0714285714286,945.439973739504
"Humphreys County, Tennessee",2026,"Professional, scientific, and technical services",BEA and NAICS,54,1200,215.57142857142856,215.57142857142856
"Humphreys County, Tennessee",2034,Health care and social assistance,BEA and NAICS,62,1600,727.2737852778586,829.8123516082048
"Humphreys County, Tennessee",2042,Accommodation and food services,BEA and NAICS,72,1800,809.7142857142857,809.7142857142857
"Humphreys County, Tennessee",2023,"Professional, scientific, and technical services",BEA and NAICS,54,1200,217.39285714285714,217.39285714285714
"Humphreys County, Tennessee",2034,Other services (except government and government enterprises),BEA and NAICS,81,1900,722.7142857142857,722.7142857142857
"Humphreys County, Tennessee",2031,Educational services,BEA and NAICS,61,1500,106.66496945010182,207.15045648883813
"Humphreys County, Tennessee",2044,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,74.64285714285714,74.64285714285714
"Humphreys County, Tennessee",2044,Educational services,BEA and NAICS,61,1500,142.57841140529533,276.89674651692405
"Humphreys County, Tennessee",2024,Other services (except government and government enterprises),BEA and NAICS,81,1900,549.2857142857142,549.2857142857142
"Humphreys County, Tennessee",2039,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,67.35714285714286,67.35714285714286
"Humphreys County, Tennessee",2025,"Professional, scientific, and technical services",BEA and NAICS,54,1200,215.17857142857142,215.17857142857142
"Humphreys County, Tennessee",2039,Manufacturing,BEA and NAICS,31-33,500,1531.892857142857,1531.892857142857
"Humphreys County, Tennessee",2027,Utilities,BEA and NAICS,22,300,15.692173407041023,27.73971319280989
"Humphreys County, Tennessee",2034,Management of companies and enterprises,BEA and NAICS,55,1300,0.0,0.0
"Humphreys County, Tennessee",2041,Wholesale trade,BEA and NAICS,42,600,149.82557462903694,149.82557462903694
"Humphreys County, Tennessee",2022BL,Transportation and warehousing,BEA and NAICS,48-49,800,472.0,519.428921059148
"Humphreys County, Tennessee",2041,Retail trade,BEA and NAICS,44-45,700,972.75,972.75
"Humphreys County, Tennessee",2046,Government,BEA,NA,2000,1369.5714285714287,0
"Humphreys County, Tennessee",2050,Manufacturing,BEA and NAICS,31-33,500,1503.0,1503.0
"Humphreys County, Tennessee",2031,Construction,BEA and NAICS,23,400,857.8928571428571,931.136269339755
"Humphreys County, Tennessee",2034,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,75.42857142857143,75.42857142857143
"Humphreys County, Tennessee",2031,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,76.03571428571429,76.03571428571429
"Humphreys County, Tennessee",2027,Retail trade,BEA and NAICS,44-45,700,971.25,971.25
"Humphreys County, Tennessee",2044,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",702.2714576665696,702.2714576665696
"Humphreys County, Tennessee",2030,Wholesale trade,BEA and NAICS,42,600,151.39016584230433,151.39016584230433
"Humphreys County, Tennessee",2046,Educational services,BEA and NAICS,61,1500,147.71894093686353,286.8799963556338
"Humphreys County, Tennessee",2034,Transportation and warehousing,BEA and NAICS,48-49,800,550.4285714285714,605.7383876637098
"Humphreys County, Tennessee",2047,Finance and insurance,BEA and NAICS,52,1000,416.35714285714283,416.35714285714283
"Humphreys County, Tennessee",2041,Utilities,BEA and NAICS,22,300,17.87954611579866,31.606423686812654
"Humphreys County, Tennessee",2034,Manufacturing,BEA and NAICS,31-33,500,1544.5714285714287,1544.5714285714287
"Humphreys County, Tennessee",2038,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,76.28571428571429,76.28571428571429
"Humphreys County, Tennessee",2025,Retail trade,BEA and NAICS,44-45,700,967.75,967.75
"Humphreys County, Tennessee",2034,Total employment (number of jobs),BEA and NAICS,NA,10,9777.857142857143,9777.857142857143
"Humphreys County, Tennessee",2050,Finance and insurance,BEA and NAICS,52,1000,432.0,432.0
"Humphreys County, Tennessee",2024,"Professional, scientific, and technical services",BEA and NAICS,54,1200,214.78571428571428,214.78571428571428
"Humphreys County, Tennessee",2048,Real estate and rental and leasing,BEA and NAICS,53,1100,181.78571428571428,181.78571428571428
"Humphreys County, Tennessee",2030,Utilities,BEA and NAICS,22,300,16.732324701774804,29.578432269167948
